File Name,Extracted Name,Effective Year,Effective Month
STATE STREET BANK AND TRUST COMPANY INVESTMENT FUNDS_2011_DECEMBER_US.pdf,STATE STREET BANK AND TRUST COMPANY INVESTMENT FUNDS,2011,DECEMBER
STATE STREET FUND INSIGHTS_NILL_NILL_US_1.pdf,STATE STREET FUND INSIGHTS,NILL,NILL
STATE STREET FUND INSIGHTS_NILL_NILL_US.pdf,STATE STREET FUND INSIGHTS,NILL,NILL
STATE STREET GLOBAL ADVISORS_NILL_NILL_US.pdf,STATE STREET GLOBAL ADVISORS,NILL,NILL
STATE STREET INSTITUTIONAL INVESTMENT_2014_APRIL_US.pdf,STATE STREET INSTITUTIONAL INVESTMENT,2014,APRIL
STATE STREET MASTER FUNDS_2014_APRIL_US.pdf,STATE STREET MASTER FUNDS,2014,APRIL
STATE STREET NAVIGATOR SECURITIES LENDING TRUST_2001_JULY_US.pdf,STATE STREET NAVIGATOR SECURITIES LENDING TRUST,2001,JULY
STATE STREET NAVIGATOR SECURITIES LENDING TRUST_2002_MARCH_US.pdf,STATE STREET NAVIGATOR SECURITIES LENDING TRUST,2002,MARCH
STATE STREET NAVIGATOR SECURITIES LENDING TRUST_NILL_NILL_US.pdf,STATE STREET NAVIGATOR SECURITIES LENDING TRUST,NILL,NILL
PIMCO_2013_JANUARY_US_1.pdf,PIMCO,2013,JANUARY
PIMCO_2013_JANUARY_US_2.pdf,PIMCO,2013,JANUARY
PIMCO_2013_JANUARY_US_3.pdf,PIMCO,2013,JANUARY
PIMCO_2013_JANUARY_US.pdf,PIMCO,2013,JANUARY
PIMCO_2014_JANUARY_US_1.pdf,PIMCO,2014,JANUARY
PIMCO_2014_JANUARY_US_2.pdf,PIMCO,2014,JANUARY
PIMCO_2014_JANUARY_US.pdf,PIMCO,2014,JANUARY
PIMCO CALIFORNIA MUNICIPAL INCOME FUND_NILL_NILL_US_1.pdf,PIMCO CALIFORNIA MUNICIPAL INCOME FUND,NILL,NILL
PIMCO CALIFORNIA MUNICIPAL INCOME FUND_NILL_NILL_US_2.pdf,PIMCO CALIFORNIA MUNICIPAL INCOME FUND,NILL,NILL
PIMCO CALIFORNIA MUNICIPAL INCOME FUND_NILL_NILL_US.pdf,PIMCO CALIFORNIA MUNICIPAL INCOME FUND,NILL,NILL
PIMCO CANADA CORP._NILL_DECEMBER_US.pdf,PIMCO CANADA CORP.,NILL,DECEMBER
PIMCO CANADA CORPORATION_NILL_NILL_US.pdf,PIMCO CANADA CORPORATION,NILL,NILL
PIMCO CORPORATE INCOME FUND_NILL_NILL_US_1.pdf,PIMCO CORPORATE INCOME FUND,NILL,NILL
PIMCO CORPORATE INCOME FUND_NILL_NILL_US_2.pdf,PIMCO CORPORATE INCOME FUND,NILL,NILL
PIMCO CORPORATE INCOME FUND_NILL_NILL_US.pdf,PIMCO CORPORATE INCOME FUND,NILL,NILL
PIMCO ETF TRUST_NILL_NILL_US.pdf,PIMCO ETF TRUST,NILL,NILL
PIMCO FLOATING RATE STRATEGY FUND_NILL_NILL_US.pdf,PIMCO FLOATING RATE STRATEGY FUND,NILL,NILL
PIMCO FUNDS_NILL_NILL_US.pdf,PIMCO FUNDS,NILL,NILL
PIMCO GLOBAL STOCKSPLUS_NILL_NILL_US.pdf,PIMCO GLOBAL STOCKSPLUS,NILL,NILL
PIMCO HIGH INCOME FUND_NILL_NILL_US.pdf,PIMCO HIGH INCOME FUND,NILL,NILL
PIMCO INCOME OPPORTUNITY FUND_NILL_NILL_US_1.pdf,PIMCO INCOME OPPORTUNITY FUND,NILL,NILL
PIMCO INCOME OPPORTUNITY FUND_NILL_NILL_US.pdf,PIMCO INCOME OPPORTUNITY FUND,NILL,NILL
PIMCO LUXEMBOURG III S.A._2008_AUGUST_US.pdf,PIMCO LUXEMBOURG III S.A.,2008,AUGUST
PIMCO LUXEMBOURG III S.A._NILL_NILL_US.pdf,PIMCO LUXEMBOURG III S.A.,NILL,NILL
PIMCO MUNICIPAL INCOME FUND III_NILL_NILL_US.pdf,PIMCO MUNICIPAL INCOME FUND III,NILL,NILL
PIMCO MUNICIPAL INCOME FUND II_NILL_NILL_US_1.pdf,PIMCO MUNICIPAL INCOME FUND II,NILL,NILL
PIMCO MUNICIPAL INCOME FUND II_NILL_NILL_US.pdf,PIMCO MUNICIPAL INCOME FUND II,NILL,NILL
PIMCO NEW YORK MUNICIPAL INCOME FUND III_NILL_NILL_US.pdf,PIMCO NEW YORK MUNICIPAL INCOME FUND III,NILL,NILL
PIMCO NEW YORK MUNICIPAL INCOME FUND II_NILL_NILL_US.pdf,PIMCO NEW YORK MUNICIPAL INCOME FUND II,NILL,NILL
PIMCO NEW YORK MUNICIPAL INCOME FUND_NILL_NILL_US.pdf,PIMCO NEW YORK MUNICIPAL INCOME FUND,NILL,NILL
PIMCO_NILL_NILL_US_1.pdf,PIMCO,NILL,NILL
PIMCO_NILL_NILL_US_2.pdf,PIMCO,NILL,NILL
PIMCO_NILL_NILL_US.pdf,PIMCO,NILL,NILL
PIMCO VARIABLE INSURANCE TRUST_2009_JULY_US_1.pdf,PIMCO VARIABLE INSURANCE TRUST,2009,JULY
PIMCO VARIABLE INSURANCE TRUST_2009_JULY_US.pdf,PIMCO VARIABLE INSURANCE TRUST,2009,JULY
PIMCO VARIABLE INSURANCE TRUST_NILL_NILL_US_1.pdf,PIMCO VARIABLE INSURANCE TRUST,NILL,NILL
PIMCO VARIABLE INSURANCE TRUST_NILL_NILL_US.pdf,PIMCO VARIABLE INSURANCE TRUST,NILL,NILL
ALLIANCE BERNSTEIN _2012_OCTOBER_US.pdf,ALLIANCE BERNSTEIN ,2012,OCTOBER
ALLIANCE BERNSTEIN FUNDS_2010_APRIL_US.pdf,ALLIANCE BERNSTEIN FUNDS,2010,APRIL
ALLIANCEBERNSTEIN _2011_DECEMBER_US.pdf,ALLIANCEBERNSTEIN ,2011,DECEMBER
"ALLIANCEBERNSTEIN CAP FUND, INC._NILL_NILL_US.pdf","ALLIANCEBERNSTEIN CAP FUND, INC.",NILL,NILL
